subject_name;object_name;count;weight
Genelli, Hans Christian;Schlegel, August Wilhelm von;1;0.1
Mendelssohn, Henriette;Schlegel, Dorothea von;1;0.1
Schlegel, August Wilhelm von;Schlegel, Friedrich von;1;0.1
Schlegel, Dorothea von;Schlegel, Friedrich von;1;0.1
Schlegel, Friedrich von;Frölich, Heinrich;2;0.2
Schlegel, Friedrich von;Brinckmann, Karl Gustav von;1;0.1
Schlegel, Friedrich von;Tieck, Ludwig;1;0.1
Schleiermacher, Friedrich;Schlegel, Friedrich von;2;0.2
