Node;In-Degree;Out-Degree
Bernhardi, Friedrich Wilhelm;1;0
Bouterwek, Friedrich;1;0
Campe, Friedrich ;1;0
Frölich, Frau (Ehefrau von Heinrich Frölich);2;0
Heeren, Arnold Hermann Ludwig;1;0
Hermann, Gottfried;1;0
Kunze, Herr;1;0
Körner, Anna Maria Jacobine ;2;0
Körner, Emma;2;0
Körner, Theodor;2;0
Luck, Charlotte Louise von;1;0
Niethammer, Rosine Eleonore;2;0
Schütz, Wilhelm von;2;0
Tieck, Anna Sophie;1;0
Tieck, Johann Ludwig;1;0
Wiedemann, Fräulein;1;0
Schlegel, Caroline (Tante Caroline);0;1
Schlegel, Charlotte ;0;2
Brentano, Clemens;1;0
Veit, Johannes;1;0
Schweighäuser, Johann Gottfried;1;0
Dohna, Alexander von;1;0
Humboldt, Caroline von, die Ältere;1;0
Alberti, Maria;2;0
Bing, Abraham Herz;1;0
Brinckmann, Karl Gustav von;2;0
Böhmer, Auguste: Gedichte;1;0
Chézy, Helmina von;2;0
Darbes, Joseph Friedrich August;1;0
Fasch, Carl Friedrich Christian;1;0
Frommann, Carl Friedrich Ernst;1;0
Grapengießer, Carl Johann Christian;1;0
Humboldt, Alexander von;1;0
Liman, Friederike;1;0
Mendelssohn Bartholdy, Abraham;1;0
Reimer, Georg Andreas;1;0
Schlegel, Dorothea von: Florentin;1;0
Scholtz, Hieronimus Gottfried;1;0
Tieck, Christian Friedrich;2;0
Veit, David;1;0
Veit, Simon;1;0
Voitus, Ernestine;1;0
Voitus, Minna;1;0
Voitus, Sidonie Wilhelmine;1;0
Zelter, Carl Friedrich;2;0
Hardenberg, Heinrich Ulrich Erasmus von ;1;0
Niethammer, Friedrich Immanuel ;1;0
Heindorf, Ludwig Friedrich;1;0
Buttlar, Augusta von;1;0
Hardenberg, Georg Anton von ;1;0
Hardenberg, Auguste von;1;0
Cotta, Johann Friedrich von;1;0
Hardenberg, Erasmus von;1;0
Meyer, Johann Friedrich von;1;0
Spazier, Johanne Karoline Wilhelmine ;1;0
Spazier, Karl ;1;0
Stock, Dorothea ;1;0
Buch, Johann Jacob Casimir;1;0
Burgsdorff, Wilhelm von;1;0
Carlowitz, Hans Georg von;1;0
Eichstaedt, Heinrich Carl Abraham ;1;0
Ernst, Augusta;1;0
Genelli, Hans Christian;1;0
Jean Paul;1;0
Meyer, Johann Heinrich;1;0
Niemeyer, Agnes Wilhelmine;1;0
Niemeyer, August Hermann ;1;0
Paulus, Caroline;1;0
Redlich, Georg;1;0
Sander, Sophie;1;0
Savigny, Friedrich Carl von;1;0
Schleemüller, Karl Gottfried;1;0
Schlegel, Gottlieb;1;0
Schlegel, Johann Adolf;1;1
Schlegel, Johanna Christiane Erdmuthe;1;3
Schweinitz, Hans Julius von;1;0
Schüler, Johann Friedrich;1;0
Vermehren, Johann Bernhard, der Ältere;1;0
Voß, Johann Heinrich;1;0
Zachariä von Lingenthal, Karl Salomo;1;0
Schlegel, Karl August Moritz;0;2
Schlözer, Caroline von;0;1
Spall, Wilhelmine;0;1
Steffens, Henrik;0;3
Tischbein, Johann Friedrich August ;0;2
Tischbein, Johann Heinrich Wilhelm ;0;1
Uhle, August Georg;0;1
Unger, Johann Friedrich Gottlieb;0;2
Voigt, Amalie von ;0;1
Voigts, Jenny von;0;1
Welcker, Emma;0;1
Zimmermann, Johann Georg;0;1
Zöllner, Johann Friedrich ;0;1
