subject_name;object_name;count;weight
Schlegel, Dorothea von;Schlegel, Friedrich von;2;0.2
Schlegel, Dorothea von;Chézy, Helmina von;1;0.1
Schlegel, Friedrich von;Schlegel, Dorothea von;1;0.1
